"Data Source","World Development Indicators",

"Last Updated Date","2019-04-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Brazil","BRA","Price level ratio of PPP conversion factor (GDP) to market exchange rate","PA.NUS.PPPC.RF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.46393565730166","0.577218550229255","0.376771165295851","0.384262232274425","0.455363765994025","0.588844982829644","0.625459597113601","0.617664186952096","0.595544963787625","0.405158616011163","0.414968059737097","0.341518912580826","0.296392063921439","0.315803312037704","0.348388041305945","0.435686177966485","0.505093015171567","0.585054458853721","0.662733865767215","0.647381092747984","0.788125056566195","0.879408688515878","0.797728433286237","0.763452640249464","0.740451104633574","0.557358822221515","0.568297847471508","0.630876690979116","",
"Brazil","BRA","2005 PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP.05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.35674303283679","","","","","","","","","","","","","",
"Brazil","BRA","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.15983914325415E-05","5.77218550229255E-05","0.000602833864473361","0.0123732438792365","0.29111405559998","0.540383040742764","0.62864944105888","0.665841993534359","0.691129930475539","0.735241340475457","0.759184065289018","0.803320786172619","0.868695500147346","0.971726791140014","1.01903502081989","1.06063443164161","1.09872883590271","1.13915953683408","1.21532136304392","1.29437375684032","1.38646959951125","1.47107485414936","1.55804340305135","1.64608023764187","1.7422814492028","1.85427706564876","1.98279118982809","2.01337987159075","",
"Brazil","BRA","Official exchange rate (LCU per US$, period average)","PA.NUS.FCRF","8.09970533496994E-14","1.16843478826882E-13","1.67764155487091E-13","2.488693976762E-13","5.42023917053559E-13","8.21654885346591E-13","9.60713051097307E-13","1.15260322134062E-12","1.46959525276793E-12","1.76336283963875E-12","1.98785378344809E-12","2.28822086312487E-12","2.56796001993275E-12","2.65094052783721E-12","2.9383610615176E-12","3.5168444719385E-12","4.61870733099062E-12","6.12086729455843E-12","7.81974984419137E-12","1.1660690720063E-11","2.28123189244443E-11","4.03001093531326E-11","7.76854427171099E-11","2.49718172221135E-10","7.99741323974138E-10","2.68324234084592E-09","5.90968226749251E-09","1.6976307824584E-08","1.1354767374037E-07","1.22638743473744E-06","2.95572678942699E-05","0.000175961443086024","0.00195302352248811","0.038276610926673","0.664683514070577","0.917666666666667","1.0051","1.07799166666667","1.16051666666667","1.81393284657213","1.82942312207561","2.34963170932244","2.92036301775519","3.07747511847801","2.92511944951586","2.43439003623188","2.17532666666667","1.94705833333333","1.83376666666667","1.99942817314426","1.75922671058718","1.67282875525659","1.95306861112487","2.15608915126311","2.35295196276669","3.32690438276879","3.49131342157271","3.19138944630048","",
"Brazil","BRA","DEC alternative conversion factor (LCU per US$)","PA.NUS.ATLS","6.79552239674953E-14","9.79354672445837E-14","1.40907156277216E-13","2.08862387020975E-13","4.54700404932396E-13","6.90545E-13","8.07273E-13","9.68363E-13","1.2343E-12","1.48109E-12","1.66936E-12","1.92196E-12","2.15675E-12","2.22654E-12","2.46787E-12","2.95381E-12","3.87917E-12","5.14073E-12","6.56766E-12","9.79371E-12","1.91593E-11","3.38469E-11","6.52457E-11","2.09731E-10","6.71679E-10","2.255E-09","4.966E-09","1.4265E-08","9.52722416514E-08","1E-06","2.5E-05","0.0001","0.0016","0.0322","0.6393","0.9177","1.0051","1.078","1.1605","1.8147","1.8295","2.3522","2.9309","3.077","2.925","2.4344","2.1753","1.9471","1.8338","1.9994","1.7592","1.6728","1.9531","2.1561","2.353","3.3269","3.489","3.1914","",
"Brazil","BRA","Terms of trade adjustment (constant LCU)","NY.TTF.GNFS.KN","7572992579.94815","6225751808.32258","2218922789.50819","3096472619.04219","5057023663.91005","5702007847.9967","5596257343.71907","4910960813.5628","4904527903.60572","6879340836.10601","9961525926.22095","10018168860.6329","12722347567.0401","20156367342.6438","11473133876.6588","11352311495.1538","17597450784.0253","25212128550.5857","18280933469.6641","13687453531.7077","5451306792.34123","-3469490019.03598","-3751601527.63128","-4584321454.21046","421924569.380295","-4893372095.4341","8107133472.00203","-1738682031.57365","8593379203.56398","-5551898624.58933","-23208761783.4953","-25821568172.56","-23115927980.098","-24256276708.3061","-24976736976.7379","-15616588787.8158","-14590388278.8447","-17144451476.7963","-21852439932.011","-41074992604.006","-53916460573.8759","-62333036456.2928","-62580920098.8647","-72233970656.31","-73187751661.2979","-79868516069.4172","-60668902280.0971","-58083167912.9999","-46909950671.1832","-44115012151.7672","0","32068839323.966","13627853695.0465","2691094320.04675","-16974309395.6467","-56868148908.4453","-57173700531.9848","-38200025189.5595","",
"Brazil","BRA","Net secondary income (Net current transfers from abroad) (constant LCU)","NY.TRF.NCTR.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2789000000","","","","","","","","","","","","","","","","","","",
"Brazil","BRA","Net secondary income (Net current transfers from abroad) (current LCU)","NY.TRF.NCTR.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21000","199000","2362000","50243000","1478647000","3322871000","2453449100","1955476900","1666501900","3061918600","2750149968.6","3822013701.6","7264397853.1","8750139881.7","9466574211.6476","8586816872.27847","9326463517.89474","7687969608.96884","7738685334.15546","6406232030.75","4684799401.62001","4452760328.33112","4894894922.7197","7197511201.96238","5636001318.60206","8316523185.32368","9180383724.10411","7344950632.23655","",
"Brazil","BRA","Net secondary income (Net current transfers from abroad) (current US$)","NY.TRF.NCTR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","840000000","1990000000","1476250000","1560341614.90683","2312915689.03488","3620868475.53667","2441000000","1813985992.57885","1436020594.57131","1687286383.42426","1503224907.67969","1624867656.4918","2478555342.42042","2843724368.44329","3236435627.91371","3527282645.5301","4287437832.89419","3948420527.43508","4220026902.69138","3204077238.54656","2663028309.24284","2661860550.17403","2506218280.02647","3338208432.80107","2395240679.38889","2499781533.95764","2631236378.36174","2301482306.27203","",
"Brazil","BRA","Taxes less subsidies on products (constant LCU)","NY.TAX.NIND.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","254575033034.557","248611071700.43","270028212576.299","291340722349.207","321941236954.12","352738462295.778","376588360699.936","370032992803.715","358397598026.465","384764887521.259","387198676964.195","387338366413.223","389824213743.928","414672735516.099","432334763673.007","456167152528.029","490881147646.499","527752588007.043","526258137463.231","583007000000","613817000000.001","636376555829.133","660165788813.821","665152726260.159","625334431197.038","590429887655.67","599415463777.739","",
