year,NY.GDP.MKTP.CD,NY.GDP.PCAP.CD,NY.GNP.PCAP.CD,EN.ATM.CO2E.KT,EN.CO2.TRAN.ZS,EN.CO2.MANF.ZS,EN.CO2.ETOT.ZS,EN.CO2.BLDG.ZS,EG.USE.COMM.CL.ZS,SP.POP.TOTL,SP.DYN.CBRT.IN,SP.DYN.CDRT.IN,SM.POP.TOTL,SP.POP.GROW,SP.DYN.LE00.IN,NY.ADJ.AEDU.CD,SE.XPD.TOTL.GD.ZS,SE.TER.CUAT.BA.ZS,SL.TLF.ADVN.ZS,SL.TLF.BASC.MA.ZS
1981,71040020140.4436,1579.07570884439,1860,79874.594,23.6997469777903,28.0573517008715,25.0913691312904,19.0188360978353,3.61185082561727,44988356,33.823,10.845,,2.27614666094424,59.297,1322341506.391,2.20830011367798,,,
1982,64546332580.7583,1402.40808084896,1570,86988.574,23.2791956689869,27.1461716937355,24.400618716164,20.4434132508378,3.85967811881833,46025357,33.05,10.495,,2.27887830112818,59.915,946371337.35,1.75490999221802,,,
1983,61678280115.4987,1310.25698780723,1400,90541.897,22.6917997358626,26.5578100612318,25.4172169528155,20.5306759514948,3.01342403130363,47073422,32.195,10.154,,2.25160692611602,60.52,1385710800.732,2.64759993553162,,,
1984,59989909457.8379,1246.82584156637,1310,95796.708,21.746067927969,27.8778208342831,27.034419876909,18.6573968543424,3.64055145194358,48114105,31.27,9.825,,2.18668243633511,61.111,994278389.87,2.02923011779785,,,
1985,67234948264.5987,1368.40290568117,1310,106717.034,20.7044763602055,24.447007023797,30.7264912464619,19.3940664639899,3.23867616292727,49133883,30.295,9.512,933014,2.09735009025774,61.682,985230361.905,1.73810994625092,,,
1986,75728009962.7878,1510.67808891642,1450,116881.958,21.3546202225448,21.5191098209966,34.4170295113691,18.4228350266086,3.22869033427109,50128489,29.304,9.218,,2.00406109192464,62.231,1012672719.61657,1.50957000255585,,,
1987,87172789528.3316,1705.89612038235,1740,129907.142,22.0972136767162,23.3892941900325,29.2256306583458,20.5238639360113,4.22689796159502,51100878,28.335,8.944,,1.92121898687495,62.758,874922932.219366,,,,
1988,90852814004.9917,1745.36693882517,1860,126309.815,23.4828981243104,25.9838175799926,24.6873850680397,20.8164766458257,6.1364938253893,52053704,27.424,8.693,,1.84742758148225,63.266,1005104421.2949,,,,
1989,107143348667.094,2021.86143735917,1920,139316.664,21.4824016563147,24.6873706004141,31.055900621118,18.4182194616977,3.9867143870389,52992429,26.594,8.461,,1.78730994186613,63.763,1101953160,,,,
1990,150676291094.21,2794.35355132653,2310,145858.592,21.8988437032958,25.7138362306301,30.7401872099426,16.9983481475655,3.70435170666975,53921699,25.865,8.247,1163686,1.73839214599302,64.256,2825454532,,,,
