year,NY.GDP.MKTP.CD,NY.GDP.PCAP.CD,NY.GNP.PCAP.CD,EN.ATM.CO2E.KT,EN.CO2.TRAN.ZS,EN.CO2.MANF.ZS,EN.CO2.ETOT.ZS,EN.CO2.BLDG.ZS,EG.USE.COMM.CL.ZS,SP.POP.TOTL,SP.DYN.CBRT.IN,SP.DYN.CDRT.IN,SM.POP.TOTL,SP.POP.GROW,SP.DYN.LE00.IN,SE.PRE.ENRR,SE.PRM.NENR,SE.SEC.ENRR,SE.TER.ENRR,SE.XPD.TOTL.GD.ZS
1994,146683499005.964,2490.31154748601,2400,139158.983,31.7817534202218,22.5046547397393,39.1483850076904,2.59855905448069,0.602239619632125,58901666,17.392,6.212,,0.915484794145234,70.204,61.7118301391602,,42.5191802978516,,3.4052300453186
1995,169278552851.272,2845.41031378063,2740,161153.649,33.426223651304,22.7509824937478,37.7920685959271,2.52947481243301,0.829179502303083,59491790,16.91,6.344,809720,0.996894435102658,70.192,67.7367706298828,,47.7727584838867,19.8332901000977,3.14497995376587
1996,183035154107.494,3042.9039892406,2950,180255.052,32.5144784573283,22.8536880290206,38.5476993572201,2.55202698402597,0.785146196987547,60151472,16.416,6.466,,1.10275944364505,70.214,61.6349411010742,,54.1666412353516,20.4869804382324,3.49960994720459
1997,150180268649.388,2467.4928954863,2680,185916.9,31.5753509752764,20.4186855510001,40.4522300906945,2.46614486271587,0.776444171325305,60863506,15.921,6.58,,1.17678361594242,70.266,65.7768783569336,,57.4625205993652,22.8269596099854,4.57719993591309
1998,113675706127.265,1845.46623797132,2080,164347.606,30.0944946589975,19.2686935086278,42.7691043549712,2.48562037797864,0.601559126236795,61597283,15.436,6.689,,1.19840119902435,70.346,,,61.088451385498,26.6658000946045,4.62569999694824
1999,126668932159.508,2032.99214652876,1980,176126.01,29.8556646675015,20.6814736703355,41.0070520002636,2.59012719963092,0.389628991146003,62306651,14.97,6.789,,1.14504152957476,70.462,,,,32.5213890075684,4.83267021179199
2000,126392308497.749,2007.56482637453,1980,181270.811,29.0170070260687,20.2311379604702,42.2089434631296,2.84325957055618,0.657054269135979,62958021,14.531,6.877,1257821,1.03999932398612,70.624,,,,34.7874717712402,5.25345993041992
2001,120296746256.631,1893.1453765768,1960,194600.356,28.35625,21.0375,42.225,2.85,0.656824896016045,63543322,14.128,6.949,,0.925373854230488,70.841,,,62.8252182006836,38.9604110717773,4.81786012649536
2002,134300851255.002,2096.05461742145,1990,208322.27,28.2805029219054,22.3127324242961,41.1368868425713,2.70940322295024,0.717918059843698,64073164,13.762,7.006,,0.830370841663514,71.11,,,64.9129409790039,39.9052085876465,3.86491990089417
2003,152280653543.725,2358.93062926799,2180,224574.414,28.9029416746655,21.5402856981537,41.1043983964768,2.65371802834397,0.644233272305081,64554952,13.435,7.049,,0.749121215597825,71.424,,,,40.8804512023926,3.72561001777649
2004,172895476152.592,2659.83910848524,2530,243188.106,28.357669882875,22.3105102935865,41.2414220112481,2.4456942366235,0.493752956921428,65002231,13.143,7.082,,0.690476230914128,71.775,,,68.3410110473633,42.0205612182617,4.03088998794556
2005,189318499954.003,2893.6513555654,2790,247467.495,27.4375624375624,22.8021978021978,42.2827172827173,2.5024975024975,0.462170298679137,65425470,12.884,7.107,2163447,0.649003980511151,72.149,,,73.6243209838867,44.5359001159668,3.93859004974365
2006,221758486880.313,3368.95257614381,3100,252047.578,25.4128030941637,23.9996033123419,42.822432687063,2.66276590469579,0.638628496740401,65824164,12.652,7.13,,0.60753727712592,72.534,,98.8832702636719,74.1784973144531,44.8273086547852,4.05038022994995
2007,262942650543.771,3972.20647536504,3520,252447.281,26.551757066463,19.6619556913675,45.8651642475172,2.80748663101604,0.617217608262446,66195615,12.436,7.155,,0.562721711848241,72.915,,98.45166015625,79.3365936279297,49.0091781616211,3.60314011573792
2008,291383081231.82,4378.68740595675,3970,252443.614,24.6549240135707,21.1600130129665,46.1356137007947,3.07198958962681,0.523067985179519,66545760,12.228,7.187,,0.527560923795048,73.279,,97.9041976928711,79.2100830078125,48.6518096923828,3.50850009918213
2009,281710095724.761,4212.05490158881,4140,267602.992,27.1911196911197,21.6071428571429,42.7750965250965,3.3542471042471,0.528255352151954,66881867,12.021,7.229,,0.503805274032711,73.617,,98.0195770263672,80.8052673339844,49.3880386352539,3.86193990707397
2010,341105009515.333,5075.30217639529,4580,281926.294,25.5897229309342,22.3535204332841,43.8923951479343,3.39286513584889,0.395588160379538,67208808,11.806,7.284,3224131,0.487642631189843,73.923,,,82.41259765625,50.3651885986328,3.5084400177002
2011,370818747396.833,5491.15998143099,4950,278317.966,27.1349986473081,19.9071151591667,44.0661917215258,3.72441157904229,1.0122733013208,67530130,11.579,7.354,,0.476955828667069,74.197,,,84.9909210205078,52.2517013549805,4.80556011199951
2012,397558094269.877,5859.88764411764,5520,296597.961,26.2931034482759,20.3757951121527,44.4342149313693,3.9671911617007,1.1092300159728,67843979,11.34,7.437,,0.46367738206719,74.446,,,83.7325897216797,50.6734313964844,4.53670978546143
2013,420333333333.333,6168.39488117145,5720,300088.945,25.2333804809052,20.4324105879976,46.3891695291978,3.02687411598303,0.899895081759354,68143065,11.091,7.531,,0.439874966693248,74.678,,,81.9676513671875,49.8460388183594,4.12402009963989
2014,407339361695.577,5953.79392783362,5760,316212.744,24.7166557161629,20.8935611038108,46.5998685939553,2.79237844940867,1.10807573900785,68416772,10.837,7.636,,0.400860710627252,74.895,71.2671890258789,,120.294700622559,50.1729393005371,
2015,401399422442.967,5846.39460806913,5710,,,,,,,68657600,10.582,7.75,3913258,0.351383331951187,75.103,67.8559875488281,,120.631553649902,,
2016,411755164832.674,5979.29354625548,5700,,,,,,,68863514,10.333,7.872,,0.299465511725956,75.303,71.9586791992188,,118.629508972168,49.286678314209,
2017,455302682985.757,6595.00412458017,5950,,,,,,,69037513,10.098,7.999,,0.252353584486131,75.498,73.5771026611328,,116.753967285156,,
2018,,,,,,,,,,,,,,,,,,,,
