year,NY.GDP.MKTP.CD,NY.GDP.PCAP.CD,NY.GNP.PCAP.CD,EN.ATM.CO2E.KT,EN.CO2.TRAN.ZS,EN.CO2.MANF.ZS,EN.CO2.ETOT.ZS,EN.CO2.BLDG.ZS,EG.USE.COMM.CL.ZS,SP.POP.TOTL,SP.DYN.CBRT.IN,SP.DYN.CDRT.IN,SM.POP.TOTL,SP.POP.GROW,SP.DYN.LE00.IN,NY.ADJ.AEDU.CD,SE.XPD.TOTL.GD.ZS,SE.TER.CUAT.BA.ZS,SL.TLF.ADVN.ZS,SL.TLF.BASC.MA.ZS
1979,178280594413.043,183.983152215978,210,1494859.884,5.99438451731202,45.6458521351727,23.30138811294,19.0260289082757,0.718271901619975,969005000,17.82,6.21,,1.33392795351687,66.377,3382000000,2.14805006980896,,,
1980,191149211575,194.804722186836,220,1467192.369,5.79557119812289,44.0702449039449,26.2047221000147,18.1390233172019,0.837107505567271,981235000,18.21,6.34,311194,1.25422105193987,66.843,3247000000,1.91190004348755,,,
1981,195866382432.54,197.071474499102,220,1451501.276,5.88599523813034,42.8369243924193,25.9381841501979,18.8919438895482,0.949847681823884,993885000,20.91,6.36,,1.28095234429252,67.256,3332000000,1.94880998134613,,,
1982,205089699858.779,203.334919503464,220,1580260.647,5.9430738426925,43.29104789127,25.59271548949,18.7942635187242,1.04537509549766,1008630000,22.28,6.6,,1.47267476016581,67.618,3690000000,2.03448009490967,,,
1983,230686747153.257,225.431928890812,220,1667029.201,5.99881478288977,43.4510020471932,25.38182846676,18.8725622238983,1.16701335441299,1023310000,20.19,6.9,,1.4449496950092,67.933,4176000000,2.07692003250122,,,
1984,259946510957.143,250.713969046988,250,1814908.31,5.88024536542275,43.9106504160464,25.301301573378,18.5599298249949,1.10555828781086,1036825000,19.9,6.82,,1.31206876113779,68.21,4437000000,1.99863004684448,,,
1985,309488028132.653,294.45884850496,290,1966553.428,6.02451881970117,40.4074577563988,27.5544538011552,20.0210372211184,1.14906041938679,1051040000,21.04,6.78,323937,1.36169911825369,68.451,5270000000,2.00814008712769,,,
1986,300758100107.246,281.928120911563,310,2068969.071,6.21306967764582,40.1292926929152,28.1934125080442,19.3921488328556,1.1353534300267,1066790000,22.43,6.86,,1.48739892914903,68.661,5418000000,2.06154990196228,,,
1987,272972974764.574,251.811956961329,320,2209708.531,6.07201398754234,40.0005463883729,29.1940771500382,18.9225221287291,1.14254911357064,1084035000,23.33,6.72,,1.6036050865576,68.842,4368000000,1.80425000190735,,,
1988,312353631207.819,283.537695240524,330,2369501.723,5.97077731135041,39.0754598365476,30.3852081685628,18.8603962604693,1.18289992340014,1101630000,22.37,6.64,,1.61007108578698,69.002,4992000000,1.76417994499207,,,
1989,347768051311.741,310.8819124049,320,2408540.605,5.98996855376718,37.4455078909472,33.1341412043613,18.0526846853907,1.25692984402683,1118650000,21.58,6.54,,1.53316999599862,69.15,5568000000,,,,
1990,360857912565.966,317.884673040928,330,2442431.019,5.15573667832404,35.8969912425215,34.9403161941097,17.9118856999721,0.918711738632104,1135185000,21.06,6.67,376361,1.46730321087928,69.293,6465969790,,,,
1991,383373318083.624,333.142145400184,350,2565594.548,5.22689344580847,35.6093546395995,36.316210593695,16.8987037926068,0.989355243402051,1150780000,19.68,6.7,,1.36443400840349,69.437,6858929280,,,,
