year,NY.GDP.MKTP.CD,NY.GDP.PCAP.CD,NY.GNP.PCAP.CD,EN.ATM.CO2E.KT,EN.CO2.TRAN.ZS,EN.CO2.MANF.ZS,EN.CO2.ETOT.ZS,EN.CO2.BLDG.ZS,EG.USE.COMM.CL.ZS,SP.POP.TOTL,SP.DYN.CBRT.IN,SP.DYN.CDRT.IN,SM.POP.TOTL,SP.POP.GROW,SP.DYN.LE00.IN,SE.PRE.ENRR,SE.PRM.NENR,SE.SEC.ENRR,SE.TER.ENRR,SE.XPD.TOTL.GD.ZS
1980,235024598983.209,1939.79087647102,2190,187090.34,43.7123606225031,33.7189195635323,12.0803768409755,6.15347922008228,9.73727773642115,121159761,32.059,8.699,1112834,2.35259862573886,61.983,,,,,
1981,263561088977.1,2124.96298887935,2090,171806.284,46.784,28.5504,13.44,6.784,10.29631566299,124030908,31.655,8.57,,2.34207790510489,62.264,,,,,
1982,281682304161.041,2218.89051545923,2010,172176.651,46.8792010754753,27.8023173932527,13.0593431918571,7.43870430830293,10.9297987597573,126947365,31.135,8.43,,2.32417591221221,62.559,,,,,
1983,203304515490.795,1565.29783211062,1720,166632.147,46.3172804532578,26.4737623094564,13.7528665857278,8.02644003777148,11.4453226165386,129882321,30.508,8.282,,2.28562656847816,62.866,,,,,
1984,209023912696.837,1573.96713933218,1620,168806.678,45.5488914347328,25.8373205741627,15.4929577464789,7.68919738526855,12.1800582826457,132800684,29.783,8.127,,2.22205702146524,63.185,,,,,
1985,222942790435.299,1643.19650267609,1570,181248.809,44.8584966064797,25.9956460494301,15.2068126520681,7.91394544756051,12.5403364744966,135676281,28.982,7.97,944562,2.14223739539037,63.514,,,,,
1986,268137224729.722,1936.01633526699,1800,198883.412,44.3541463972987,24.8841069078006,17.9362444915012,7.49155840439535,11.6137812890232,138499464,28.134,7.812,,2.05946939984208,63.852,,,,,
1987,294084112392.66,2081.66526186895,2050,207530.198,42.4811820462782,26.9584611095623,16.9500975745749,7.80039029829941,11.5274331442368,141273488,27.278,7.659,,1.98311873443054,64.197,,,,,
1988,330397381998.489,2294.40169466025,2260,209363.698,41.8141956700466,27.4431351055084,16.2784324472458,8.51192107426692,12.1212054468991,144001542,26.452,7.511,,1.91263649238911,64.552,,,,,
1989,425595310000,2901.28544927074,2760,214024.455,43.1303499837469,26.8555639830968,15.2616751544046,8.53830317477517,12.4317158048793,146691981,25.677,7.369,,1.85110132261956,64.917,,,,,
