year,NY.GDP.MKTP.CD,NY.GDP.PCAP.CD,NY.GNP.PCAP.CD,EN.ATM.CO2E.KT,EN.CO2.TRAN.ZS,EN.CO2.MANF.ZS,EN.CO2.ETOT.ZS,EN.CO2.BLDG.ZS,EG.USE.COMM.CL.ZS,SP.POP.TOTL,SP.DYN.CBRT.IN,SP.DYN.CDRT.IN,SM.POP.TOTL,SP.POP.GROW,SP.DYN.LE00.IN,SE.PRE.ENRR,SE.PRM.NENR,SE.SEC.ENRR,SE.TER.ENRR,SE.XPD.TOTL.GD.ZS
1973,972101724.995368,76.153936515052,90,421.705,17.9487179487179,48.7179487179487,7.69230769230769,25.6410256410256,0.179869675821446,12764957,42.538,21.263,,2.10207188369036,42.28,,,,,
1974,1217953546.97604,93.3984519939748,100,425.372,16.2162162162162,51.3513513513513,8.10810810810811,21.6216216216216,0.208961026338808,13040404,42.481,20.832,,2.13488555118831,42.855,,,,,
1975,1575789254.46938,118.250881669921,110,352.032,21.875,34.375,9.375,28.125,0.160230772058933,13325814,42.425,20.403,299373,2.16505187525346,43.434,,,,,
1976,1452792989.10865,106.657459568908,120,282.359,33.3333333333333,12.5,12.5,37.5,0.270688029240358,13621110,42.358,19.971,,2.19177388317443,44.023,,,,,
1977,1382400000,99.2657037855103,120,337.364,31.0344827586207,17.2413793103448,13.7931034482759,31.0344827586207,0.28442455539926,13926260,42.271,19.531,,2.21554712615693,44.627,,,,,
1978,1604162497.45945,112.64076281385,120,330.03,35.7142857142857,14.2857142857143,14.2857142857143,32.1428571428571,0.306260392557021,14241403,42.156,19.079,,2.23771599519044,45.25,,,,,
1979,1851250008.33333,127.087888960735,130,513.38,24.4444444444444,40,8.88888888888889,22.2222222222222,0.329263557685984,14566691,42.006,18.612,,2.25840575011569,45.895,,,,,
1980,1945916583.33333,130.579472478816,140,542.716,30.7692307692308,40.3846153846154,1.92307692307692,17.3076923076923,0.382703922243893,14902163,41.82,18.131,251180,2.27688862882363,46.562,,,,,
1981,2275583316.66667,149.228265747525,160,454.708,34.0909090909091,36.3636363636364,2.27272727272727,18.1818181818182,0.450352989854236,15249010,41.601,17.636,,2.30082127125419,47.249,,,18.7032604217529,3.50726008415222,
1982,2395429852.43076,153.482003631569,160,443.707,33.3333333333333,37.2549019607843,1.96078431372549,17.6470588235294,0.575325269328519,15607236,41.354,17.132,,2.32200699525977,47.954,,,21.5664596557617,3.49752998352051,
1983,2447174803.37791,153.19334306835,150,495.045,24.6575342465753,50.6849315068493,1.36986301369863,16.4383561643836,0.62163734924543,15974420,41.085,16.623,,2.32540400092641,48.673,1.04709005355835,59.4066886901855,23.7806797027588,3.17624998092651,
