year,NY.GDP.MKTP.CD,NY.GDP.PCAP.CD,NY.GNP.PCAP.CD,EN.ATM.CO2E.KT,EN.CO2.TRAN.ZS,EN.CO2.MANF.ZS,EN.CO2.ETOT.ZS,EN.CO2.BLDG.ZS,EG.USE.COMM.CL.ZS,SP.POP.TOTL,SP.DYN.CBRT.IN,SP.DYN.CDRT.IN,SM.POP.TOTL,SP.POP.GROW,SP.DYN.LE00.IN,SE.PRE.ENRR,SE.PRM.NENR,SE.SEC.ENRR,SE.TER.ENRR,SE.XPD.TOTL.GD.ZS
1984,193194167723.239,12428.8579338162,12010,236594.84,25.5791598577333,17.5189849081996,51.7783331731231,3.47495914640008,1.49723637875791,15544000,15,7.1,,1.13222184499641,75.3878048780488,69.3166198730469,95.916389465332,,26.9084491729736,
1985,180190994860.781,11434.8898883603,11990,241229.928,24.8784919373155,17.5062457415399,52.7367703838292,3.37497161026573,1.68938335419568,15758000,15.7,6.6,3143480,1.36734607483574,75.6292682926829,71.6984634399414,95.9554977416992,,27.8127899169922,5.4067702293396
1986,181977476217.124,11360.527656765,12290,239964.813,25.3837125315999,17.4024918743229,52.3564463705309,3.38118454315637,1.796414987493,16018400,15,7.3,,1.63898886728063,75.8707317073171,73.2895584106445,96.6152191162109,,29.4109802246094,5.28190994262695
1987,189041159343.568,11623.3596704092,12530,256106.947,24.6635610766046,17.1713250517598,53.3341959972395,3.36438923395445,1.6113058527786,16263900,15.4,7.5,,1.52098662618978,76.1517073170732,72.879280090332,97.1484680175781,,29.5779094696045,5.07158994674683
1988,235699941792.782,14257.022162373,14090,261145.405,24.656396628327,17.0410663123365,53.7516090188099,3.18481916704729,1.6861316536777,16532200,14.9,7.2,,1.63620665679268,76.4326829268293,71.2068023681641,97.8046417236328,,31.3821296691895,4.91880989074707
1989,299317645142.904,17801.2682666586,15560,277771.583,24.069049585152,16.6214462663678,54.8307184145334,3.09858047265149,1.57501768212998,16814400,14.9,7.3,,1.69256678030677,76.7136585365854,70.8041229248047,97.9059371948242,,32.5265083312988,4.74832010269165
1990,310838014621.008,18214.8369843135,17300,263704.971,23.8786432064067,16.4902013629538,55.0032726292688,3.31883109382821,1.27387330786397,17065100,15.4,7,3955213,1.47997801595662,76.9946341463415,70.4784698486328,97.506721496582,,35.2143592834473,4.67555999755859
1991,325358292127.776,18824.2474038288,18190,261471.768,23.2045045390125,16.5013214846593,55.6670624736661,3.32477879495921,1.43895710782223,17284000,14.9,6.9,,1.27457757809254,77.2756097560976,70.1204223632813,96.9220809936523,,38.1486396789551,4.79384994506836
1992,324878105052.68,18569.7687940943,18510,267984.36,23.4146893507865,16.1454600324418,55.7395601493832,3.39884567505376,1.36364659356547,17495000,15.1,7.1,,1.21339077499647,77.3780487804878,70.2445220947266,96.6921081542969,,39.5240287780762,4.6917200088501
1993,311528948847.667,17633.3813804079,18870,277397.549,23.4869888475836,16.2453531598513,55.457249070632,3.48327137546468,1.40029552944623,17667000,14.7,6.9,,0.9783366810892,77.8780487804878,70.714599609375,96.2819976806641,133.714279174805,65.2667617797852,5.51654005050659
1994,322201314424.075,18045.4390604354,18830,278119.948,23.5760529570088,16.5090565214229,55.2520549938168,3.33163599330763,1.39070274755276,17855000,14.5,7.1,,1.05850884158683,77.8780487804878,72.24609375,95.9859237670898,131.992706298828,66.6734619140625,5.25500011444092
1995,367216364716.365,20319.6306283956,19250,281860.288,23.6656737340109,16.1871386017172,55.412651130191,3.40634308743648,1.32756107238628,18072000,14.2,6.9,4153330,1.20801981192904,77.8292682926829,93.9872131347656,94.5646209716797,142.569519042969,70.3671875,5.14390993118286
1996,400302731411.229,21861.32550987,20440,302164.467,23.6648188209843,15.5388047593294,56.0978907517577,3.41062736614386,1.22902559799024,18311000,13.9,7,,1.31381929938745,78.0780487804878,76.4584274291992,94.9873428344727,147.948013305664,75.3023376464844,5.24097013473511
1997,434568007512.913,23468.5968306374,21900,305794.797,23.5435772250445,15.6528336742099,56.1390776538893,3.35158672560533,1.28387449349497,18517000,13.6,7,,1.11872568961022,78.4804878048781,78.0493011474609,94.5998306274414,152.246307373047,80.5315322875977,
1998,398899138574.239,21318.9641694318,21740,316883.805,22.0444718962322,14.6911673872761,58.8048177887585,3.2118591723286,1.17022820704078,18711000,13.3,6.8,,1.04223571564164,78.6317073170732,,94.4043502807617,,,
1999,388395162301.04,20521.7775705928,21420,325343.574,22.1249163777899,14.4255914370857,59.0585659551177,3.13203186766405,1.19751187270266,18926000,13.1,6.8,,1.14250518739456,78.9317073170732,,94.1159515380859,,,
2000,415034227218.489,21669.410913094,21110,329443.28,22.4081266806095,14.3292500746938,58.8527039139528,3.1580519868539,1.18307781435353,19153000,13,6.7,4386250,1.19227232344832,79.2341463414634,,94.1080169677734,,,4.89369010925293
2001,378215090694.43,19482.5679026647,20110,324844.862,21.8162624989004,13.8521537694631,59.9184822449638,3.17860598774301,1.22915782703786,19413000,12.7,6.6,,1.34835834227145,79.6341463414634,103.235908508301,93.8962020874023,,,
2002,394486709920.469,20074.2293129481,19980,341353.696,21.8102633162374,10.8592876994929,62.6973439156471,3.19188561932323,1.2130317496714,19651400,12.8,6.8,,1.22056378534358,79.9365853658537,101.113807678223,93.8987884521484,,,
2003,466294700058.241,23437.3121454327,21110,336271.234,21.6516465453721,12.5403842883863,60.8654990647849,3.20240321940713,1.22479805141861,19895400,12.6,6.6,,1.23399666342628,80.2390243902439,82.2938995361328,94.5974807739258,,,
2004,611904253805.662,30401.5547862944,25450,342699.485,21.5927996727124,12.3441974635211,61.3200600027274,3.06559389063139,1.179749332061,20127400,12.3,6.5,,1.15935216218033,80.490243902439,83.847053527832,94.9944076538086,,,
2005,692641708013.833,33961.6818019217,30270,350172.831,21.3271671327167,11.7713486771349,62.1020649602065,3.05442030544203,1.12978575094151,20394800,12.8,6.4,4878030,1.31978955436191,80.8414634146341,86.4245300292969,95.4585800170898,,,4.91572999954224
2006,745521862833.184,36019.203051188,34060,365346.877,21.5264343447728,11.2998542467206,62.5149065853982,3.06081886842454,1.1743752739928,20697900,12.9,6.4,,1.47522794532757,81.0414634146342,82.7572021484375,95.6642837524414,,,4.75359010696411
2007,851962785585.303,40905.4708936845,37250,372090.49,21.5666537617757,11.1678926313073,62.6842173183637,3.05071622144793,1.16902559625439,20827600,14.1,6.7,,0.624678435014185,81.2926829268293,81.7565994262695,96.4393615722656,,,4.66710996627808
2008,1052584601611.46,49535.2578737769,42270,385904.079,21.8643415822541,11.4835235286575,62.0592383638928,3.05680215412232,1.04822229666427,21249200,14,6.7,,2.00402174031569,81.3951219512195,81.681640625,96.5569000244141,,,4.64397001266479
2009,926448240318.068,42709.8033034787,43980,394792.887,21.4610373213474,10.542396848644,63.3175092167062,3.16903186707742,1.12028027364403,21691700,13.9,6.5,,2.0610451296841,81.5439024390244,81.4984512329102,96.6913909912109,,,5.09326982498169
2010,1144260547872.81,51936.8887116461,46550,390861.863,22.4854957128921,9.7653642758125,62.9229347435437,3.25255429480926,1.34024550207767,22031750,13.7,6.5,5882980,1.55548958906995,81.6951219512195,78.7917175292969,96.9897766113281,,,5.55916976928711
2011,1394280784777.68,62411.7854473961,50230,391818.95,23.2937532266391,10.2271553949406,61.5513680949923,3.34021683014972,1.67382499111307,22340024,13.6,6.6,,1.38952731561803,81.8951219512195,95.530158996582,97.6583709716797,,,5.0831298828125
2012,1543411012579.91,67891.5868117735,60090,388126.281,23.4803275723992,10.6228525665866,60.9031491384433,3.37389237644992,1.72074104603589,22733465,13.7,6.6,,1.74582000067359,82.0463414634146,108.090942382813,97.5498962402344,,,4.87764978408813
2013,1573696522006.77,68042.534785532,65920,372266.506,24.0994988515348,11.3959072875339,59.3782626853205,3.46627688452704,2.13883076334763,23128129,13.3,6.4,,1.721151439989,82.1487804878049,109.453140258789,97.3978424072266,,,5.23800992965698
2014,1464955475993.76,62403.0955258883,65060,361261.839,24.7445021135427,11.4880410936915,58.3578575632725,3.7214404194981,2.37342249684338,23475686,13.2,6.6,,1.49156648912847,82.3,114.374488830566,97.0505905151367,,,5.1736798286438
2015,1349034029453.37,56644.0339550527,60440,,,,,,2.15439420000885,23815995,12.9,6.6,6763663,1.43921665259925,82.4,125.260848999023,96.992561340332,158.147186279297,119.694519042969,5.32175016403198
2016,1208039015868.39,49937.7313909063,54180,,,,,,,24190907,12.9,6.6,,1.56194049810399,82.4487804878049,168.609146118164,96.6607208251953,153.848266601563,121.859008789063,
2017,1323421072479.07,53793.5372560884,51360,,,,,,,24601860,12.4,6.5,,1.68452310845434,82.4975609756098,166.357482910156,96.6778335571289,150.989303588867,113.768836975098,
2018,,,,,,,,,,,,,,,,,,,,
