year,NY.GDP.MKTP.CD,NY.GDP.PCAP.CD,NY.GNP.PCAP.CD,EN.ATM.CO2E.KT,EN.CO2.TRAN.ZS,EN.CO2.MANF.ZS,EN.CO2.ETOT.ZS,EN.CO2.BLDG.ZS,EG.USE.COMM.CL.ZS,SP.POP.TOTL,SP.DYN.CBRT.IN,SP.DYN.CDRT.IN,SM.POP.TOTL,SP.POP.GROW,SP.DYN.LE00.IN,NY.ADJ.AEDU.CD,SE.XPD.TOTL.GD.ZS,SE.TER.CUAT.BA.ZS,SL.TLF.ADVN.ZS,SL.TLF.BASC.MA.ZS
2005,4755410630912.14,37217.648727917,40560,1239255.316,19.7245408306232,20.4998004534377,46.9095756875865,12.6444589740759,16.6844052248879,127773000,8.4132922190743,8.5307537586188,2012916,0.00939209655766336,81.9251219512195,145811111232.774,,,,
2006,4530377224970.4,35433.988963743,39930,1231495.944,19.6766866837586,21.6227609821567,46.5096271314762,11.959495500456,16.8356963880276,127854000,8.65,8.53,,0.0633735894181335,82.3219512195122,136540848549.358,,,,
2007,4515264514430.57,35275.2284312667,38740,1252229.162,18.7162229369053,20.0648188057425,49.8342230032161,11.1783428931401,14.7718492929287,128001000,8.63,8.71,,0.114908847726211,82.5070731707317,136958133271.042,,,,
2008,5037908465114.48,39339.2975731826,38850,1210135.669,19.3896127074781,19.4842048902374,50.0089237908264,10.9459218275924,15.0942734757986,128063000,8.7,9.1,,0.0484253945978966,82.5875609756098,151730969094.684,,,,
2009,5231382674593.7,40855.1756354596,38800,1103869.676,20.1634054757816,18.6029397890447,48.7197388531426,12.278053474725,17.0570297481554,128047000,8.5,9.1,,-0.0124946312294096,82.9314634146342,161080533496.249,,,,
2010,5700098114744.41,44507.6763859172,43440,1171624.835,19.2648090518249,19.8332463888039,49.7094853483478,10.9577089816697,16.6637182405653,128070000,8.5,9.5,2134151,0.0179605415195644,82.8426829268293,179924511523.2,,19.91314,,
2011,6157459594823.72,48167.9972684965,46880,1191074.603,18.1604501938716,19.4051744844388,51.7105308307312,10.4982328517997,7.52200090353815,127833000,8.3,9.9,,-0.185226486410846,82.5912195121951,196316999174.296,,,,
2012,6203213121334.12,48603.4766497749,49480,1230168.49,17.9167942025629,18.5240029450451,53.6171937690787,9.7169943994507,2.6498114043533,127629000,8.2,10,,-0.159710675844347,83.0960975609756,203695366193.176,3.69226002693176,,76.8899993896484,
2013,5155717056270.83,40454.4474578903,48280,1246515.976,17.5479830839297,18.2473975276513,53.8549121665582,10.1472023422251,2.43115393600386,127445000,8.2,10.1,,-0.144271883387076,83.3319512195122,166622509881.902,3.66538000106812,,77.5100021362305,
2014,4850413536037.84,38109.4121125573,43950,1214048.358,17.5369963739768,19.180905748635,53.0964219311308,9.97703238181772,2.22189362602368,127276000,8,10.1,,-0.132694222147042,83.5878048780488,149940752271.347,3.59059000015259,,,
2015,4394977752877.82,34567.7456750995,38880,,,,,,3.09202073923516,127141000,8,10.3,2043877,-0.106124993746747,83.7939024390244,135399440447.1,,,77.5599975585938,
2016,4949273341993.88,38972.3406391468,38000,,,,,,,126994511,7.8,10.5,,-0.115284177050088,83.9848780487805,150832093527.126,3.46745991706848,,77.7200012207031,
2017,4872415104314.68,38430.2912440159,38520,,,,,,,126785797,7.6,10.8,,-0.164484036370785,84.099756097561,148765900465.111,,,,
2018,,,,,,,,,,,,,,,,,,,,
